iter	MultiClass
0	1.094664599
1	1.091036174
2	1.087804071
3	1.084996196
4	1.082185458
5	1.079640873
6	1.077457195
7	1.075381963
8	1.073489371
9	1.071751424
10	1.070191445
11	1.068805721
12	1.067449114
13	1.066248513
14	1.06522072
15	1.064147755
16	1.063285949
17	1.062413691
18	1.061596023
19	1.060846265
20	1.0601651
21	1.059558332
22	1.059042734
23	1.058510903
24	1.05801045
25	1.057496176
26	1.057079005
27	1.056712097
28	1.056368781
29	1.056045292
30	1.05575783
31	1.055484797
32	1.055151874
33	1.054862078
34	1.054643045
35	1.05442588
36	1.054160251
37	1.053958852
38	1.053757847
39	1.053559504
40	1.053405584
41	1.053234619
42	1.053074662
43	1.05293433
44	1.05276133
45	1.052607728
46	1.052483461
47	1.052329001
48	1.052196995
49	1.052065711
50	1.051953745
51	1.051822468
52	1.051707706
53	1.051576633
54	1.051514922
55	1.051437277
56	1.051328538
57	1.05122584
58	1.051137081
59	1.051062528
60	1.050975081
61	1.050883722
62	1.050801535
63	1.050727814
64	1.050657763
65	1.050606817
66	1.050532691
67	1.050441858
68	1.050356784
69	1.050305912
70	1.050222572
71	1.050175215
72	1.050093773
73	1.050018405
74	1.0499543
75	1.049906601
76	1.049845548
77	1.049803426
78	1.049727129
79	1.049654529
80	1.049620379
81	1.04957566
82	1.049536216
83	1.049496488
84	1.049458149
85	1.049393857
86	1.049354094
87	1.049281386
88	1.049191155
89	1.049145462
90	1.049095423
91	1.049041572
92	1.048985809
93	1.048929223
94	1.048883041
95	1.04881462
96	1.048773201
97	1.048750033
98	1.048715224
99	1.048694922
100	1.048652764
101	1.048612283
102	1.048561808
103	1.048529589
104	1.048484677
105	1.048444606
106	1.048404673
107	1.048363557
108	1.048306065
109	1.048270621
110	1.048227693
111	1.04820519
112	1.048169873
113	1.048130651
114	1.048074285
115	1.048020007
116	1.047977756
117	1.047950762
118	1.047909982
119	1.047862735
120	1.047815824
121	1.047759687
122	1.047726483
123	1.047695323
124	1.047662486
125	1.047626656
126	1.047594711
127	1.047584637
128	1.047563209
129	1.047541637
130	1.047507933
131	1.047486896
132	1.047448733
133	1.047407399
134	1.047375845
135	1.04734715
136	1.047293901
137	1.047246425
138	1.047202927
139	1.04718974
140	1.047167128
141	1.047126212
142	1.047093148
143	1.047065423
144	1.047033421
145	1.046990623
146	1.046944551
147	1.046918464
148	1.046879685
149	1.046842868
150	1.046802415
151	1.046761691
152	1.046724397
153	1.046693622
154	1.046637735
155	1.046617805
156	1.046578578
157	1.046550703
158	1.046501965
159	1.046488301
160	1.046435152
161	1.046409858
162	1.046376251
163	1.046335353
164	1.046295466
165	1.04626954
166	1.046226484
167	1.046207743
168	1.046175976
169	1.046143615
170	1.046118078
171	1.0460624
