iter	Passed	Remaining
0	70	34992
1	105	26191
2	125	20831
3	138	17199
4	151	15013
5	164	13512
6	176	12449
7	189	11635
8	202	11025
9	214	10526
10	227	10095
11	239	9742
12	251	9427
13	263	9148
14	276	8927
15	289	8756
16	301	8579
17	314	8434
18	327	8290
19	340	8162
20	352	8042
21	365	7933
22	376	7817
23	389	7731
24	402	7644
25	414	7553
26	426	7473
27	438	7400
28	451	7330
29	464	7269
30	476	7203
31	487	7135
32	500	7080
33	513	7039
34	525	6985
35	538	6942
36	551	6898
37	563	6850
38	575	6800
39	588	6764
40	600	6724
41	613	6688
42	625	6646
43	637	6601
44	649	6565
45	661	6531
46	674	6498
47	686	6460
48	698	6427
49	710	6391
50	722	6360
51	735	6339
52	747	6307
53	760	6282
54	773	6254
55	785	6228
56	797	6200
57	810	6176
58	822	6146
59	834	6121
60	847	6095
61	858	6067
62	871	6044
63	883	6017
64	895	5995
65	907	5970
66	920	5948
67	932	5923
68	945	5906
69	957	5879
70	969	5858
71	982	5838
72	994	5817
73	1006	5793
74	1018	5770
75	1030	5747
76	1043	5732
77	1055	5712
78	1067	5690
79	1079	5669
80	1091	5648
81	1104	5631
82	1117	5613
83	1130	5597
84	1143	5583
85	1156	5568
86	1168	5547
87	1181	5532
88	1195	5518
89	1207	5500
90	1220	5487
91	1232	5467
92	1245	5449
93	1257	5430
94	1270	5417
95	1284	5404
96	1296	5385
97	1309	5370
98	1321	5351
99	1333	5332
100	1345	5314
101	1358	5299
102	1370	5283
103	1383	5267
104	1395	5250
105	1408	5236
106	1420	5218
107	1432	5201
108	1445	5185
109	1458	5169
110	1470	5152
111	1481	5133
112	1494	5119
113	1506	5102
114	1519	5086
115	1531	5070
116	1543	5054
117	1556	5038
118	1569	5026
119	1582	5012
120	1595	4997
121	1608	4982
122	1620	4965
123	1632	4950
124	1644	4933
125	1656	4915
126	1668	4900
127	1680	4885
128	1693	4869
129	1705	4853
130	1716	4835
131	1728	4818
132	1740	4801
133	1752	4787
134	1764	4771
135	1777	4757
136	1790	4743
137	1802	4728
138	1814	4711
139	1827	4698
140	1839	4683
141	1852	4670
142	1864	4654
143	1876	4639
144	1888	4623
145	1900	4608
146	1912	4592
147	1924	4577
148	1936	4561
149	1948	4546
150	1959	4529
151	1971	4513
152	1983	4499
153	1995	4483
154	2008	4469
155	2020	4454
156	2032	4441
157	2044	4425
158	2057	4412
159	2069	4397
160	2082	4384
161	2094	4370
162	2108	4358
163	2120	4345
164	2132	4330
165	2144	4315
166	2157	4301
167	2169	4287
168	2181	4273
169	2193	4258
170	2206	4244
171	2218	4231
